scenario,contrast,point,lo,hi,excludes_zero,n_reps,status,resampling,note
sv_jump,I(alpha=0.05),0.024700000000000055,0.010997500000000063,0.040005000000000006,True,2000,exploratory (specified after seeing Stage 2E results),"calibration + test, shared across both budgets","interaction at one budget, re-estimated on the shared resamples"
sv_jump,trunc_t_gain(alpha=0.05),0.015700000000000047,0.007297499999999973,0.02450250000000006,True,2000,exploratory (specified after seeing Stage 2E results),"calibration + test, shared across both budgets",truncation gain on the Student-t side at one budget
sv_jump,I(alpha=0.15),-0.0035000000000000586,-0.011099999999999888,0.005607500000000005,False,2000,exploratory (specified after seeing Stage 2E results),"calibration + test, shared across both budgets","interaction at one budget, re-estimated on the shared resamples"
sv_jump,trunc_t_gain(alpha=0.15),0.00649999999999995,0.0012974999999999682,0.011802500000000016,True,2000,exploratory (specified after seeing Stage 2E results),"calibration + test, shared across both budgets",truncation gain on the Student-t side at one budget
sv_jump,I(0.05) - I(0.15),0.028200000000000114,0.011300000000000084,0.044600000000000084,True,2000,exploratory (specified after seeing Stage 2E results),"calibration + test, shared across both budgets",THE estimand for 'does the interaction differ between budgets'
sv_jump,trunc_t_gain(0.05) - trunc_t_gain(0.15),0.009200000000000097,-0.0007999999999999119,0.019299999999999987,False,2000,exploratory (specified after seeing Stage 2E results),"calibration + test, shared across both budgets",THE estimand for 'does the Student-t-side gain differ between budgets'
sv_jump_big,I(alpha=0.05),0.04059999999999997,0.016400000000000026,0.05279999999999996,True,2000,exploratory (specified after seeing Stage 2E results),"calibration + test, shared across both budgets","interaction at one budget, re-estimated on the shared resamples"
sv_jump_big,trunc_t_gain(alpha=0.05),0.03320000000000001,0.019397499999999974,0.04169999999999996,True,2000,exploratory (specified after seeing Stage 2E results),"calibration + test, shared across both budgets",truncation gain on the Student-t side at one budget
sv_jump_big,I(alpha=0.15),0.0013999999999999568,-0.007000000000000009,0.013502500000000054,False,2000,exploratory (specified after seeing Stage 2E results),"calibration + test, shared across both budgets","interaction at one budget, re-estimated on the shared resamples"
sv_jump_big,trunc_t_gain(alpha=0.15),0.012399999999999967,0.006199999999999983,0.018399999999999972,True,2000,exploratory (specified after seeing Stage 2E results),"calibration + test, shared across both budgets",truncation gain on the Student-t side at one budget
sv_jump_big,I(0.05) - I(0.15),0.03920000000000001,0.009597499999999889,0.05200250000000008,True,2000,exploratory (specified after seeing Stage 2E results),"calibration + test, shared across both budgets",THE estimand for 'does the interaction differ between budgets'
sv_jump_big,trunc_t_gain(0.05) - trunc_t_gain(0.15),0.02080000000000004,0.005397499999999964,0.03060000000000007,True,2000,exploratory (specified after seeing Stage 2E results),"calibration + test, shared across both budgets",THE estimand for 'does the Student-t-side gain differ between budgets'
