scenario,sharpe_valid,far_target,setting,quantity,window_h,method_a,method_b,point,lo,hi,excludes_zero,n_reps,denominator,interval_type
gaussian_ctrl,1.0,0.05,fixed_T0,joint,252,ewma_student_t,binary_student_t,-0.000899999999999998,-0.0040999999999999925,0.002199999999999994,False,2000,all paths,"per-comparison, test sampling only; thresholds were frozen in Stage 3A and are not re-covered"
gaussian_ctrl,1.0,0.05,fixed_T0,cond,252,ewma_student_t,binary_student_t,-0.000899999999999998,-0.0040999999999999925,0.002199999999999994,False,2000,survivor denominator recomputed each replicate,"per-comparison, test sampling only; thresholds were frozen in Stage 3A and are not re-covered"
gaussian_ctrl,1.0,0.05,fixed_T0,pre_far,252,ewma_student_t,binary_student_t,0.0,0.0,0.0,False,2000,all paths,"per-comparison, test sampling only; thresholds were frozen in Stage 3A and are not re-covered"
gaussian_ctrl,1.0,0.05,fixed_T0,joint,252,ewma_student_t,trailing_sharpe_252,0.0221,0.017800000000000003,0.026499999999999996,True,2000,all paths,"per-comparison, test sampling only; thresholds were frozen in Stage 3A and are not re-covered"
gaussian_ctrl,1.0,0.05,fixed_T0,cond,252,ewma_student_t,trailing_sharpe_252,0.0221,0.017800000000000003,0.026499999999999996,True,2000,survivor denominator recomputed each replicate,"per-comparison, test sampling only; thresholds were frozen in Stage 3A and are not re-covered"
gaussian_ctrl,1.0,0.05,fixed_T0,pre_far,252,ewma_student_t,trailing_sharpe_252,0.0,0.0,0.0,False,2000,all paths,"per-comparison, test sampling only; thresholds were frozen in Stage 3A and are not re-covered"
gaussian_ctrl,1.0,0.05,fixed_T126,joint,252,ewma_student_t,binary_student_t,-0.0034000000000000002,-0.006500000000000006,-0.00040000000000001113,True,2000,all paths,"per-comparison, test sampling only; thresholds were frozen in Stage 3A and are not re-covered"
gaussian_ctrl,1.0,0.05,fixed_T126,cond,252,ewma_student_t,binary_student_t,-0.003411872035677624,-0.006502920499918721,-0.0004398565771164367,True,2000,survivor denominator recomputed each replicate,"per-comparison, test sampling only; thresholds were frozen in Stage 3A and are not re-covered"
gaussian_ctrl,1.0,0.05,fixed_T126,pre_far,252,ewma_student_t,binary_student_t,-9.999999999999994e-05,-0.0006000000000000001,0.0004,False,2000,all paths,"per-comparison, test sampling only; thresholds were frozen in Stage 3A and are not re-covered"
gaussian_ctrl,1.0,0.05,fixed_T126,joint,252,ewma_student_t,trailing_sharpe_252,-0.0354,-0.0412,-0.0295,True,2000,all paths,"per-comparison, test sampling only; thresholds were frozen in Stage 3A and are not re-covered"
